date,NAV,sp500_close,daily_return,sp500_return,gmrr,vol,alpha,beta,excess_rtn,sharpe,tier,rank
2025-02-07,1011013.960413132,6025.990234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-10,1035592.203421904,6066.43994140625,0.024019691843176583,0.006690112295455172,0.02401969184317654,NA,NA,NA,0.023847866446351142,NA,NA,NA
2025-02-11,1042701.681170504,6068.5,0.006841674830776286,3.3952514367385523e-4,0.015394357673450543,0.012146692316806127,0.005923276491414676,2.704949416776671,0.015222532276625145,1.2532244893997435,NA,NA
2025-02-12,1027473.028148504,6051.97021484375,-0.014712698069777822,-0.0027275831896475754,0.005257817486885807,0.01940735808906675,-2.107398177336829e-4,3.9006686304336537,0.005085992090060411,0.2620651438861034,NA,NA
2025-02-13,1025276.29800874,6115.06982421875,-0.0021402817678108517,0.010372313214235747,0.0034031663734379602,0.016286391822930003,-9.791066234331291e-4,1.2215050069051594,0.0032313409766125635,0.19840741962643196,NA,NA
2025-02-14,1023401.11800874,6114.6298828125,-0.0018306254650074139,-7.19463955744955e-5,0.0023542171719408422,0.01430463226073027,-0.0011887490286206835,1.2409932866540125,0.0021823917751154455,0.1525653882838112,NA,NA
2025-02-17,1023245.01800874,NA,-1.5254224709938013e-4,NA,0.0019359879158431514,0.01283800512152771,-0.0011887490286206835,1.2409932866540125,0.0017641625190177547,0.13741718454835927,NA,NA
2025-02-18,1051185.46800874,6129.580078125,0.026939576873381877,NA,0.00547030670878601,0.015038949674949176,-0.0011887490286206835,1.2409932866540125,0.0052984813119606134,0.3523172446534914,NA,NA
2025-02-19,1053472.49632696,6144.14990234375,0.002173302510105723,0.0023741488668242434,0.0050575887375583495,0.01397494703446523,-0.001114899823656428,1.239382449104966,0.004885763340732953,0.3496087197098928,NA,NA
2025-02-20,1056581.33632696,6117.52001953125,0.002946694725410813,-0.004343604884290259,0.004822825732621716,0.01309283638264996,8.82873618867754e-4,0.8800501885504322,0.004651000335796319,0.355232449246797,NA,NA
2025-02-21,1054686.77546496,6013.1298828125,-0.0017947141435519455,-0.017211396672539132,0.004159102351573241,0.012524180326420171,0.002193135187770641,0.44601234822266445,0.003987276954747844,0.3183663002948426,NA,NA
2025-02-24,1066248.91550119,5983.25,0.010902975156269848,-0.004981493566252351,0.004770318109709626,0.012050678057196583,0.0033158794189357826,0.3595106743203051,0.004598492712884229,0.3815961799874025,NA,NA
2025-02-25,1073104.866015965,5955.25,0.00640938777339061,-0.004690715138395557,0.0049068052305620835,0.011498847540060008,0.0037500047864949472,0.32873192815433316,0.004734979833736687,0.4117786427936218,NA,NA
2025-02-26,1082960.671481069,5956.06005859375,0.009142462455876323,1.3601502958346571e-4,0.005231992883381498,0.011070052752929575,0.00425528184036221,0.3436315377201121,0.005060167486556101,0.4571041890669383,NA,NA
2025-02-27,1104850.446412669,5861.56982421875,0.020011330259552304,-0.015991742678524653,0.0062805211126086835,0.011340340974835907,0.005010420837193806,-0.061254484884676046,0.006108695715783287,0.5386694923317047,NA,NA
2025-02-28,1088588.276874199,5954.5,-0.014828285230151884,0.015729780420663385,0.004859302190308945,0.01221841677935877,0.003212161215364071,-0.3744156294400261,0.004687476793483548,0.38364027665207456,NA,NA
